trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
89,False,"{'a': 0.5, 'e': 0.16562303420562907}",20,13,-7.458166197403256,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.16231057352151648}",25,0,32.9200374311195,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.15906436205108615}",35,18,28.051856925625508,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.15588307481006441}",25,11,21.773224785228845,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.15276541331386312}",25,6,1.6339850015366681,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.14971010504758586}",25,14,24.86777720070013,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.14671590294663414}",20,7,12.051594585616696,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.14378158488770146}",20,12,3.1802612052691215,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.14090595318994742}",30,19,12.032201869487885,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.13808783412614847}",20,6,23.62761765259107,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.13532607744362551}",20,12,16.63235002401411,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.132619555894753}",25,18,13.548199170166617,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.12996716477685794}",30,19,20.94465330551034,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.12736782148132078}",25,1,33.093986664113764,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.12482046505169436}",20,10,17.662395101944206,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.12232405575066048}",20,6,20.38683740990738,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.11987757463564727}",25,11,9.834113652378683,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.11748002314293432}",25,15,10.418458948688123,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.11513042268007563}",20,6,25.75598457344632,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.11282781422647412}",35,6,38.53191895699343,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.11057125794194463}",25,13,-10.429977964766314,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.10835983278310574}",25,0,27.05062385198893,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.10619263612744362}",25,17,16.73757357303799,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.10406878340489474}",30,15,29.41186337185373,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.10198740773679685}",25,12,25.268883680758687,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.09994765958206091}",20,13,14.875507445479498,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.0979487063904197}",25,11,20.93308056501256,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.0959897322626113}",20,10,-1.6794463403635653,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.09406993761735907}",25,2,0.8864131032291902,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.0921885388650119}",30,21,17.265455919296123,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.09034476808771166}",25,4,21.486474939116235,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.08853787272595742}",25,7,31.696246533198956,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.08676711527143827}",20,6,0.3214397592722058,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.0850317729660095}",20,11,13.094517493076843,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.08333113750668932}",25,16,17.15997678554675,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.08166451475655553}",20,8,7.763809591332698,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.08003122446142442}",25,6,24.10882945919279,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.07843059997219594}",20,10,19.112977494188527,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.07686198797275202}",25,0,36.64689762574801,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.07532474821329699}",20,12,14.694318784508711,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.07381825324903105}",30,14,16.65758844021956,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.07234188818405042}",25,15,5.557263439768337,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.07089505042036941}",30,7,28.829751992414895,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.06947714941196202}",25,17,11.776611075373786,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.06808760642372277}",20,9,16.253946043245403,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
